"Abbreviation"	"Reaction"	"Description"
"R01732"	"C00255[c] + C00001[c] <=> C00474[c] + C01727[c]"	"riboflavin hydrolase"
"R00153"	"C05361[c] + 2 C05359[c] + 2 C00080[c] <=> 2 C00014[c]"	"reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)"
"R11485"	"C02745[c] + C00006[c] <=> C02869[c] + C00005[c] + C00080[c]"	"flavodoxin:NADP+ oxidoreductase"
"R08064"	"C16429[c] + C00001[c] <=> C16430[c] + C00009[c]"	"X"
"R03718"	"C01794[c] + C00037[c] <=> C00010[c] + C01921[c]"	"choloyl-CoA:glycine N-choloyltransferase"
"R06753"	"C12462[c] <=> C12463[c]"	"X"
"R00775"	"C00581[c] + C00001[c] <=> C00037[c] + C00086[c]"	"guanidinoacetate amidohydrolase"
"R12869"	"1 C00789[c] + G13172[c] <=> 1 C00055[c] + G13173[c]"	"X"
"R00734"	"C00082[c] + C00026[c] <=> C01179[c] + C00025[c]"	"L-tyrosine:2-oxoglutarate aminotransferase"
"R03643"	"C01628[c] + C00004[c] + C00080[c] <=> C05850[c] + C00003[c]"	"NADH:(quinone-acceptor) oxidoreductase"
"R08650"	"C00441[c] + C00111[c] <=> C12115[c] + C00009[c] + 2 C00001[c]"	"X"
"R03939"	"C00002[c] + C02419[c] <=> C00008[c] + C03624[c]"	"ATP:hypotaurocyamine N-phosphotransferase"
"R13066"	"C01477[c] <=> C00509[c]"	"X"
"R09427"	"C19574[c] + C00167[c] <=> C19606[c] + C00015[c]"	"X"
"R01453"	"C00187[c] + C00007[c] + C00005[c] + C00080[c] <=> C05418[c] + C00006[c] + C00001[c]"	"cholesterol,NADPH:oxygen oxidoreductase (5beta,6beta-epoxidizing)"
"R07562"	"C08592[c] + 2 C00138[c] + C00080[c] + C00007[c] <=> C15966[c] + 2 C00139[c] + C00001[c]"	"echinenone,reduced ferredoxin [iron-sulfur] cluster:oxygen 3-oxidoreductase"
"R10670"	"C19714[c] + C00097[c] + C00005[c] + C00007[c] + C00080[c] <=> C17237[c] + C00006[c] + 2 C00001[c]"	"phenylacetaldehyde-oxime,NADPH:oxygen oxidoreductase (adding cysteine)"
"R13377"	"C22950[c] + C00006[c] <=> C22893[c] + C00005[c] + C00080[c]"	"rhazimol:NADP+ oxidoreductase (rhazimol-forming)"
"R13073"	"C00509[c] + C00004[c] + C00080[c] <=> C00774[c] + C00003[c]"	"X"
"R03256"	"C05396[c] + C00001[c] <=> C00221[c] + C01113[c]"	"lactose 6-phosphate 6-phosphogalactohydrolase"
"R12518"	"C17622[c] + C00005[c] + C00080[c] <=> C22225[c] + C00006[c]"	"(S)-8-oxocitronellyl enol:NADP+ oxidoreductase"
"R08899"	"C18004[c] + C00001[c] <=> C01759[c] + C00009[c]"	"5''-phosphoribostamycin phosphohydrolase"
"R07276"	"C00826[c] + C00026[c] <=> C00254[c] + C00025[c]"	"L-arogenate:2-oxoglutarate aminotransferase"
"R02239"	"C00416[c] + C00001[c] <=> C00641[c] + C00009[c]"	"1,2-diacyl-sn-glycerol 3-phosphate phosphohydrolase"
"R10839"	"C00979[c] + C20891[c] <=> C20892[c] + C00033[c]"	"O-acetyl-L-serine:isoxazolin-5-one 2-(2-amino-2-carboxyethyl)transferase"
"R07495"	"C15816[c] + C00005[c] + C00080[c] <=> C05103[c] + C00006[c]"	"4alpha-methylzymosterol:NADP+ 3-oxidoreductase"
"R00089"	"C00002[c] <=> C00575[c] + C00013[c]"	"ATP diphosphate-lyase (cyclizing; 3',5'-cyclic-AMP-forming)"
"R04876"	"C03277[c] + C00004[c] + C00080[c] <=> C05568[c] + C00003[c]"	"X"
"R11028"	"C06002[c] <=> C21030[c]"	"X"
"R12770"	"C22382[c] <=> C19910[c]"	"X"
"R07905"	"C16294[c] <=> C16295[c]"	"X"
"R05593"	"C09825[c] + C00001[c] <=> C06714[c]"	"2-hydroxy-6-oxocyclohexane-1-carbonyl-CoA hydrolase (decyclizing)"
"R09621"	"3 C00083[c] + C00512[c] <=> 4 C00010[c] + C19750[c] + 4 C00011[c]"	"malonyl-CoA:benzoyl-CoA malonyltransferase (cyclizing)"
"R13228"	"C01230[c] + C00001[c] <=> C22838[c] + C00013[c]"	"pentaprenyl-diphosphate diphosphate-lyase [cyclizing, colleterpenol-forming]"
"R00402"	"C00042[c] + C00003[c] <=> C00122[c] + C00004[c] + C00080[c]"	"succinate:NAD+ oxidoreductase"
"R10074"	"C00527[c] + C04253[c] <=> C02411[c] + C04570[c]"	"glutaryl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase"
"R08551"	"C03161[c] + C00005[c] + C00080[c] <=> C03024[c] + C00006[c]"	"cytochrome P-450 reductase"
"R04857"	"C05515[c] + C00001[c] <=> C05516[c] + C00014[c] + C00011[c]"	"X"
"R03067"	"C04807[c] + C00568[c] <=> C00013[c] + C00921[c]"	"(7,8-dihydropterin-6-yl)methyl diphosphate:4-aminobenzoate 2-amino-4-hydroxy-7,8-dihydropteridine-6-methenyltransferase"
"R03677"	"C01694[c] + C00205[c] <=> C05441[c]"	"X"
"R04852"	"C05497[c] + C03161[c] + C00001[c] <=> C05498[c] + C03024[c] + C00007[c]"	"11beta-hydroxyprogesterone,NADPH-hemoprotein reductase:oxygen oxidoreductase (17alpha-hydroxylating)"
"R12297"	"G13096[c] + G10613[c] <=> G13097[c] + G10619[c]"	"X"
"R07384"	"C04756[c] + C00055[c] <=> C03454[c] + C00570[c]"	"X"
"R08368"	"C15586[c] + C00009[c] <=> C15587[c] + C00620[c]"	"purine-nucleoside:phosphate ribosyltransferase"
"R01694"	"C00247[c] + C00006[c] <=> C00273[c] + C00005[c] + C00080[c]"	"L-sorbose:NADP+ 5-oxidoreductase"
"R07365"	"4 C00087[c] + 4 C00001[c] + C00007[c] <=> 2 C00283[c] + 2 C00094[c]"	"sulfur:oxygen oxidoreductase (hydrogen-sulfide- and sulfite-forming)"
"R01858"	"C00286[c] + C00022[c] <=> C00361[c] + C00074[c]"	"dGTP:pyruvate 2-O-phosphotransferase"
"R12859"	"G10610[c] + C17556[c] <=> G13164[c] + C00105[c]"	"X"
"R13387"	"C15521[c] + 2 C00001[c] + 4 C00139[c] <=> C00060[c] + C00094[c] + 4 C00138[c] + C00080[c]"	"aliphatic sulfonate:ferredoxin oxidoreductase (sulfite-releasing)"
"R11985"	"C21827[c] + C03024[c] + C00007[c] <=> C21829[c] + C03161[c] + C00001[c]"	"X"
"R09611"	"2 C00019[c] + C10192[c] <=> 2 C00021[c] + C10193[c]"	"S-adenosyl-L-methionine:tricetin 3',5'-O-dimethyltransferase"
"R06999"	"C12044[c] <=> C14540[c]"	"X"
"R06271"	"C11831[c] + 2 C00080[c] <=> C02880[c]"	"X"
"R06492"	"C11955[c] + C11921[c] <=> C11957[c] + C00363[c]"	"X"
"R04474"	"2 C03692[c] <=> C04315[c] + C06038[c]"	"3-beta-D-galactosyl-1,2-diacylglycerol:mono-beta-D-galactosylglycerol acyltransferase"
"R04870"	"C00956[c] + C00183[c] + C00097[c] + 3 C00002[c] + C00001[c] <=> C05556[c] + 3 C00020[c] + 3 C00013[c]"	"L-2-aminohexanedioate:L-cysteine:L-valine ligase (AMP-forming, valine-inverting)"
"R00783"	"C00533[c] + C00001[c] + C00125[c] <=> C00088[c] + C00126[c] + C00080[c]"	"nitric-oxide:ferricytochrome-c oxidoreductase"
"R03650"	"C00002[c] + C00097[c] + C01639[c] <=> C00020[c] + C00013[c] + C03125[c]"	"L-cysteine:tRNA(Cys) ligase (AMP-forming)"
"R01332"	"C02492[c] + C00001[c] <=> 1 C00159[c]"	"beta-D-mannan hydrolases"
"R07554"	"C15935[c] <=> C15937[c]"	"X"
"R09853"	"C20135[c] + C00169[c] <=> C20136[c] + C00009[c]"	"carbamoyl-phosphate:20-O-methyl-19-chloroproansamitocin carbamoyltransferase"
"R09042"	"C10793[c] + C03024[c] + C00007[c] <=> C18132[c] + C03161[c] + C00001[c]"	"geranylhydroquinone,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (3''-hydroxylating)"
"R00546"	"C02715[c] + C00001[c] <=> C00060[c] + C00049[c]"	"N-acyl-L-aspartate amidohydrolase"
"R10563"	"C02426[c] + C00005[c] + C00080[c] <=> C00116[c] + C00006[c]"	"glycerol:NADP+ oxidoreductase (D/L-glyceraldehyde-forming)"
"R07185"	"C15485[c] + C00026[c] + C00007[c] <=> C15500[c] + C00042[c] + C00011[c]"	"2'-deoxymugineic acid,2-oxoglutarate:oxygen oxidoreductase(2-hydroxylating)"
"R05990"	"2 G10616[c] + G00017[c] <=> 2 G10621[c] + G00018[c]"	"CMP-N-acetylneuraminate:beta-D-galactosyl 1,4-N-acetyl-beta-D-glucosamine alpha 2,6-N-acetylneuraminyltransferase"
"R11092"	"C21104[c] + C00004[c] + C00080[c] <=> C06600[c] + C00003[c]"	"X"
"R04807"	"C05454[c] + C00007[c] + 2 C00080[c] + 2 C00662[c] <=> C05446[c] + C00001[c] + 2 C00667[c]"	"X"
"R11293"	"C01917[c] + C06453[c] + C00019[c] + C00080[c] + C05359[c] <=> C17702[c] + C00541[c] + C05198[c] + C00073[c]"	"S-adenosyl-L-methionine:methylcob(III)alamin:gentamicin-A methyltransferase"
"R11103"	"C21098[c] + C21097[c] <=> C21097[c] + C21098[c]"	"L-allo-isoleucyl-[peptidyl-carrier protein]:[peptidyl-carrier protein] L-allo-isoleucyltransferase"
"R03771"	"C01931[c] + C00344[c] <=> C01646[c] + C04482[c]"	"L-lysyl-tRNA(Lys):phosphatidylglycerol 3-O-lysyltransferase"
"R04105"	"C03864[c] + C00006[c] <=> C02975[c] + C00005[c] + C00080[c]"	"ethyl-(R)-3-hydroxyhexanoate:NADP+ 3-oxidoreductase"
"R07860"	"C00157[c] + C00001[c] <=> C04233[c] + C06427[c]"	"X"
"R06963"	"C05432[c] <=> C08586[c]"	"carotenoid psi-end group lyase (decyclizing)"
"R05897"	"C11816[c] <=> C09337[c]"	"X"
"R10909"	"3 C00002[c] <=> C20936[c] + 2 C00013[c]"	"ATP:ATP adenylyltransferase (2'-5' linkages-forming)"
"R12136"	"C19731[c] <=> C17055[c]"	"X"
"R10966"	"C00235[c] + C20981[c] <=> C00013[c] + C20982[c]"	"dimethylallyl-diphosphate:5,10-dihydrophenazine-1-carboxylate 9-dimethylallyltransferase"
"R09748"	"C01352[c] + C00003[c] <=> C00016[c] + C00004[c] + C00080[c]"	"FADH2:NAD+ oxidoreductase"
"R08613"	"C02478[c] + C00001[c] <=> C01335[c] + C00159[c]"	"beta-D-mannoside mannohydrolase"
"R11944"	"C04628[c] + C03576[c] + 2 C00138[c] + 2 C00011[c] + 2 C00080[c] <=> C04832[c] + 2 C00139[c] + 2 C00058[c]"	"coenzyme B,coenzyme M,ferredoxin:formate oxidoreductase"
"R03739"	"C02080[c] + C00001[c] <=> C01853[c] + C00011[c]"	"stipitatonate carboxy-lyase (decyclizing)"
"R12202"	"C00350[c] + C21994[c] <=> C00165[c] + C21995[c]"	"phosphatidylethanolamine:1-dephospho-KDO2-lipid-A ethanolaminephosphotransferase"
"R11555"	"C00350[c] + C06026[c] <=> C00165[c] + C21461[c]"	"phosphatidylethanolamine:KDO2-lipid-A ethanolaminephosphotransferase"
"R09443"	"C19604[c] + C00001[c] <=> C19607[c]"	"microsomal epoxide hydrolase"
"R12023"	"C12483[c] + 2 C01352[c] + 2 C00698[c] + 2 C00007[c] <=> C21856[c] + 2 C00016[c] + 4 C00001[c]"	"1H-pyrrole-2-carbonyl-[peptidyl-carrier protein]:FADH2 oxidoreductase (chlorinating)"
"R13213"	"C13712[c] + C03024[c] + C00007[c] <=> C22832[c] + C03161[c] + C00001[c]"	"allopregnanolone,NADPH---hemoprotein reductase:oxygen oxidoreductase (17alpha-hydroxylating)"
"R00109"	"C00005[c] + 2 C02683[c] <=> C00006[c] + 2 C02685[c] + C00080[c]"	"NADPH:ferrileghemoglobin oxidoreductase"
"R08631"	"C17220[c] + C00024[c] + C00001[c] <=> C17222[c] + C00010[c]"	"acetyl-CoA:7-methylthio-2-oxoheptanoate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)"
"R06683"	"C12424[c] + C00005[c] + C00080[c] + C00007[c] <=> C12425[c] + C00006[c] + C00001[c]"	"aklavinone,NADPH:oxygen oxidoreductase (12-hydroxylating)"
"R04681"	"C05141[c] + C00003[c] <=> C05300[c] + C00004[c] + C00080[c]"	"estriol:NAD+ 17-oxidoreductase"
"R07975"	"C07130[c] + C00004[c] + C00080[c] + C00007[c] <=> C16358[c] + C00003[c] + C00067[c] + C00001[c]"	"theophylline:oxygen oxidoreductase (N3-demethylating)"
"R08059"	"C04377[c] + C00006[c] <=> C04330[c] + C00005[c]"	"X"
"R00460"	"C00047[c] <=> C00739[c]"	"lysine racemase"
"R06345"	"C03579[c] <=> C11870[c]"	"(gibberellin-1),2-oxoglutarate:oxygen oxidoreductase (2beta-hydroxylating)"
"R10432"	"C00052[c] + C01289[c] <=> C00015[c] + C20617[c]"	"UDP-alpha-D-galactose:N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 3-beta-galactosyltransferase"
"R00429"	"C00002[c] + C00044[c] <=> C00020[c] + C04494[c]"	"ATP:GTP 3'-diphosphotransferase"
"R12711"	"C22349[c] <=> C22348[c] + C00001[c]"	"X"
"R08941"	"C00187[c] + C00059[c] <=> C18043[c] + C00001[c]"	"cholesterol-sulfate sulfohydrolase;"
"R01868"	"C00337[c] + C15602[c] <=> C00295[c] + C15603[c]"	"(S)-dihydroorotate:quinone oxidoreductase"
"R05230"	"C03112[c] + C00169[c] <=> C06568[c] + C00009[c]"	"carbamoyl-phosphate:deacetylcephalosporin C carbamoyltransferase"
"R10766"	"C20832[c] <=> C20837[c]"	"hydroperoxyicosatetraenoate hydroxymutase"
"R01051"	"C00002[c] + C00121[c] <=> C00008[c] + C00117[c]"	"ATP:D-ribose 5-phosphotransferase"
"R09444"	"C19561[c] + C00053[c] <=> C19562[c] + C00054[c]"	"3'-phosphoadenylyl-sulfate:7-hydroxymethyl-12-methylbenz[a]anthracene sulfotransferase"
"R09576"	"C12142[c] + C03024[c] + C00007[c] <=> C19711[c] + C03161[c] + C00001[c]"	"(-)-vetispiradiene,[reduced NADPH---hemoprotein reductase]:oxygen 2alpha-oxidoreductase"
"R12651"	"C22300[c] + C00026[c] + C00007[c] <=> C22301[c] + C00042[c] + C00011[c]"	"31-hydroxy-L-isoleucine,2-oxoglutarate:oxygen oxidoreductase (4S-hydroxylating)"
"R05764"	"C00019[c] + C02341[c] <=> C00021[c] + C11515[c]"	"S-adenosyl-L-methionine:(E)-prop-1-ene-1,2,3-tricarboxylate 3'-O-methyltransferase"
"R03799"	"2 C00235[c] + C02006[c] <=> 2 C00013[c] + C02008[c]"	"dimethylallyl-diphosphate:aspulvinone-E dimethylallyltransferase"
"R11183"	"C00002[c] + C11838[c] <=> C00008[c] + C20959[c]"	"ATP:(S)-4,5-dihydroxypentane-2,3-dione 5-phosphotransferase"
"R02486"	"C00526[c] + C00026[c] + C00007[c] <=> C02674[c] + C00106[c] + C00042[c] + C00011[c]"	"2-deoxyuridine,2-oxoglutarate:oxygen oxidoreductase (1'-hydroxylating)"
"R04305"	"C03765[c] + C03758[c] <=> C06160[c] + C00001[c]"	"4-hydroxyphenylacetaldehyde hydro-lyase (adding dopamine)"
"R07179"	"C08579[c] + C00072[c] <=> C06098[c] + C05422[c] + C00001[c]"	"antheraxanthin:ascorbate oxidoreductase"
"R09635"	"C00167[c] + C08604[c] <=> C00015[c] + C19762[c]"	"UDP-D-glucuronate:cyanidin-3-O-beta-glucoside 2-O-beta-glucuronosyltransferase"
"R05521"	"C06653[c] + C00005[c] + C00080[c] + C00007[c] <=> C01912[c] + C00006[c] + C00001[c]"	"erythromycin-B,NADPH:oxygen oxidoreductase (12-hydroxylating)"
"R06998"	"C00019[c] + C14727[c] <=> C00021[c] + C12044[c]"	"S-adenosyl-L-methionine:27-O-demethylrifamycin-SV 27-O-methyltransferase"
"R07724"	"C10208[c] + C00019[c] <=> C12125[c] + C00021[c]"	"S-adenosyl-L-methionine:hydroxyisoflavone 7-O-methyltransferase"
"R08728"	"C17335[c] + C00003[c] <=> C17337[c] + C00004[c] + C00080[c]"	"3beta,7alpha-dihydroxy-5-cholestenoate:NAD+ 3-oxidoreductase"
"R06810"	"C00389[c] + C00029[c] <=> C12639[c] + C00015[c]"	"UDP-glucose:flavonol 7-O-beta-D-glucosyltransferase"
"R10861"	"C20902[c] + C00003[c] + C00001[c] <=> C20903[c] + C00004[c] + C00080[c]"	"3,6-anhydro-alpha-L-galactopyranose:NAD+ 1-oxidoredutase"
"R02142"	"C00655[c] + C00013[c] <=> C00385[c] + C00119[c]"	"XMP:pyrophosphate phosphoribosyltransferase"
"R08287"	"C07047[c] <=> C16555[c] + C06754[c]"	"X"
"R03293"	"C01157[c] + C00006[c] <=> C04281[c] + C00005[c] + C00080[c]"	"trans-4-hydroxy-L-proline:NADP+ 5-oxidoreductase"
"R11695"	"C21599[c] <=> C21600[c]"	"X"
"R09937"	"C00178[c] + C01847[c] + C00007[c] <=> C20232[c] + C00061[c]"	"thymine,FMNH2:oxygen oxidoreductase (thymine hydroxylating, ring-opening)"
"R01619"	"C00224[c] + C00014[c] <=> C03851[c] + C00059[c]"	"adenylyl-sulfate:ammonia adenylyltransferase"
"R08299"	"C16569[c] <=> C11004[c]"	"X"
"R08323"	"C16593[c] + C00188[c] + C00002[c] <=> C16594[c] + C00008[c] + C00009[c]"	"X"
"R02250"	"C00422[c] + C00001[c] <=> C00641[c] + C00162[c]"	"triacylglycerol acylhydrolase"
"R09802"	"C05903[c] + C02199[c] <=> C16911[c] + C00015[c]"	"UDP-L-rhamnose:kaempferol 3-O-rhamnosyltransferase"
"R10832"	"C20888[c] + C00009[c] <=> C00103[c] + C00257[c]"	"4-O-beta-D-glucopyranosyl-D-gluconate:phosphate alpha-D-glucosyltransferase"
"R05258"	"C00472[c] + C00088[c] + C00006[c] + C00001[c] <=> C00870[c] + C00007[c] + C00005[c] + C00080[c]"	"4-nitrophenol,NADPH:oxygen 4-oxidoreductase (4-hydroxylating, nitrite-forming)"
"R03685"	"C04333[c] + C00001[c] <=> C01711[c]"	"bis-D-fructose-2',1:2,1'-dianhydride fructohydrolase"
"R11801"	"C00077[c] + C01271[c] <=> C21680[c] + C00229[c]"	"L-ornithine Nalpha-(3R)-3-hydroxy-acyltransferase"
"R04751"	"C05270[c] + C00016[c] <=> C05271[c] + C01352[c]"	"hexanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase"
"R06871"	"C00588[c] + C00001[c] <=> C00114[c] + C00009[c]"	"phosphocholine phosphohydrolase"
"R02612"	"C05332[c] + C00001[c] + C00028[c] <=> C00601[c] + C00014[c] + C00030[c]"	"phenethylamine:(acceptor) oxidoreductase (deaminating)"
"R10933"	"C20951[c] + C00001[c] <=> C00077[c] + C19885[c]"	"LysW-L-ornithine amidohydrolase"
"R05962"	"G10611[c] + G00093[c] <=> G10619[c] + G00094[c]"	"X"
"R11447"	"C21389[c] + C00005[c] + C00080[c] + C00007[c] <=> C21290[c] + C00006[c] + C00001[c]"	"tert-butyl alcohol,NADPH:oxygen oxidoreductase"
"R04387"	"C04586[c] + C00006[c] <=> C04067[c] + C00005[c] + C00080[c]"	"diethyl-(2R,3R)-2-methyl-3-hydroxysuccinate:NADP+ 3-oxidoreductase"
"R03659"	"C00002[c] + C00073[c] + C01647[c] <=> C00020[c] + C00013[c] + C02430[c]"	"L-methionine:tRNAMet ligase (AMP-forming)"
"R08946"	"C00498[c] + C00031[c] <=> C01083[c] + C00008[c]"	"ADP-glucose: D-glucose 1-alpha-D-glucosyltransferase"
"R07259"	"C00043[c] + C04942[c] <=> C00015[c] + C15544[c]"	"UDP-N-acetyl-D-glucosamine:beta-D-mannosyl-glycoprotein 4-beta-N-acetyl-D-glucosaminyltransferase"
"R09664"	"C19791[c] + C00001[c] <=> C19792[c] + C00009[c]"	"alpha-D-glucosyl-3-phospho-D-glycerate phosphohydrolase"
"R05843"	"C11422[c] + C00004[c] + C00080[c] + C00007[c] <=> C04468[c] + C00003[c]"	"X"
"R01315"	"C00157[c] + C00001[c] <=> C04230[c] + C00162[c]"	"phosphatidylcholine 2-acylhydrolase"
"R01399"	"C00169[c] + C00134[c] <=> C00009[c] + C00436[c]"	"carbamoyl-phosphate:putrescine carbamoyltransferase"
"R01372"	"C00166[c] + C00007[c] <=> C05852[c] + C00011[c]"	"phenylpyruvate:oxygen oxidoreductase (hydroxylating,decarboxylating)"
"R06711"	"C12369[c] <=> C12377[c]"	"X"
"R09180"	"C18261[c] + C05694[c] <=> C18260[c] + C05693[c]"	"X"
"R04166"	"C03748[c] <=> C03207[c] + C00001[c]"	"16alpha-hydroxyprogesterone hydro-lyase"
"R13326"	"C22920[c] <=> C00156[c]"	"X"
"R04127"	"C00029[c] + C03049[c] <=> C00015[c] + C04103[c]"	"UDPglucose:13-hydroxydocosanoate 13-beta-D-glucosyltransferase"
"R00671"	"C00077[c] <=> C00148[c] + C00014[c]"	"L-ornithine ammonia-lyase (cyclizing; L-proline-forming)"
"R04265"	"C03598[c] + C00006[c] <=> C04297[c] + C00005[c] + C00080[c]"	"CDP-alpha-D-paratose:NADP+ 4-oxidoreductase"
"R11145"	"C03990[c] + C00006[c] <=> C03070[c] + C00005[c] + C00080[c]"	"lithocholate:NADP+ 3-oxidoreductase"
"R06039"	"G10615[c] + G00069[c] <=> G10620[c] + G00084[c]"	"X"
"R05250"	"C01108[c] + C00006[c] + C00001[c] <=> C01751[c] + C00007[c] + C00005[c] + C00080[c]"	"X"
"R02383"	"C00483[c] + C00007[c] + C00004[c] + C00080[c] <=> C03758[c] + C00003[c] + C00001[c]"	"monophenol,L-dopa:oxygen oxidoreductase"
"R06341"	"C06093[c] <=> C11853[c]"	"X"
"R11350"	"C21291[c] + C00003[c] + C00001[c] <=> C21297[c] + C00004[c] + C00080[c]"	"2-hydroxy-2-methylpropanal:NAD+ oxidoreductase"
"R11489"	"C21408[c] + C00007[c] <=> C21409[c] + C00027[c]"	"(1R,6R)-1,4,5,5a,6,9-hexahydrophenazine-1,6-dicarboxylate:oxygen oxidoreductase"
"R07074"	"C14840[c] <=> C14841[c]"	"X"
"R06539"	"C02906[c] + C00026[c] + C00007[c] <=> C10107[c] + C00042[c] + C00011[c] + C00001[c]"	"dihydroflavonol,2-oxoglutarate:oxygen oxidoreductase"
"R05301"	"C06564[c] + C00026[c] + C00007[c] <=> C06565[c] + C00042[c] + C00011[c] + C00001[c]"	"penicillin-N,2-oxoglutarate:oxygen oxidoreductase (ring-expanding)"
"R02464"	"C01120[c] <=> C00346[c] + C00517[c]"	"sphinganine-1-phosphate pamlmitaldehyde-lyase"
"R10157"	"C20404[c] + C00026[c] + C00007[c] <=> C20403[c] + C00042[c] + C00011[c]"	"1-deoxypentalenic acid,2-oxoglutarate:oxygen oxidoreductase"
"R00329"	"C00454[c] + C00001[c] <=> C00215[c] + C00009[c]"	"nucleoside-diphosphate phosphohydrolase"
"R07009"	"C14786[c] <=> C11714[c]"	"X"
"R01463"	"C00187[c] + C00007[c] + C03024[c] <=> C03594[c] + C03161[c] + C00001[c]"	"cholesterol,NADPH-hemoprotein reductase:oxygen oxidoreductase (7alpha-hydroxylating)"
"R06330"	"C11860[c] <=> C06095[c]"	"X"
"R07802"	"C16264[c] + C00001[c] <=> C01606[c] + C00596[c]"	"X"
"R13351"	"C22941[c] + C00016[c] <=> C22939[c] + C00011[c] + C01352[c]"	"1'-carboxy-chondrochloren carboxy-lyase"
"R06326"	"C11861[c] <=> C11863[c] + C00011[c]"	"(gibberellin-44),2-oxoglutarate:oxygen oxidoreductase"
"R02997"	"C00852[c] + C00001[c] <=> C01197[c] + C00296[c]"	"chlorogenate hydroloase"
"R12693"	"C03227[c] + C00048[c] <=> C02470[c] + C00037[c] + C00001[c]"	"3-hydroxy-L-kynurenine:glyoxylate aminotransferase (cyclizing)"
"R05271"	"C06678[c] + C00003[c] <=> C06679[c] + C00004[c] + C00080[c]"	"4-(hydroxymethyl)benzenesulfonate:NAD+ oxidoreductase"
"R04781"	"C04115[c] <=> C05364[c] + C00001[c]"	"4-carboxy-4-hydroxy-2-oxoadipate hydro-lyase"
"R05686"	"C07328[c] + C00006[c] <=> C07329[c] + C00005[c] + C00080[c]"	"3-methylbutanol:NADP oxidoreductase"
"R06700"	"C12367[c] + C00007[c] <=> C12368[c] + C00001[c]"	"tetracenomycin-F1:oxygen C5-monooxygenase"
"R11506"	"C18160[c] <=> C21426[c] + C00001[c]"	"3-vinylbacteriochlorophyllide-d 3(1)-hydro-lyase"
"R11448"	"C21390[c] + C00004[c] + C00080[c] + C00007[c] <=> C06142[c] + C00003[c] + C00001[c]"	"butane,NADH:oxygen oxidoreductase"
"R12385"	"C00029[c] + C22128[c] <=> C00015[c] + C20778[c]"	"UDP-alpha-D-glucose:3-O-glucosyl-protopanaxadiol-type ginsenoside 2''-O-glucosyltransferase"
"R04341"	"C03905[c] + C00001[c] <=> C03904[c] + C00014[c]"	"alpha-N-peptidyl-L-glutamine amidohydrolase"
"R12291"	"C18799[c] + C03576[c] + 2 C01330[c] <=> C18802[c] + C03920[c] + 2 C01330[c]"	"5-methyltetrahydrosarcinapterin:CoM 2-methyltransferase"
"R09114"	"C18222[c] <=> C09118[c]"	"X"
"R07447"	"C15796[c] + C00005[c] + C00080[c] <=> C15797[c] + C00006[c]"	"22alpha-hydroxy-5alpha-campestan-3-one:NADP+ delta4-oxidoreductase"
"R02476"	"C00523[c] + C00003[c] <=> C00674[c] + C00004[c] + C00080[c]"	"androsterone:NAD+ oxidoreductase"
"R07602"	"C15974[c] + C15972[c] <=> C15975[c] + C00068[c]"	"X"
"R04143"	"C00002[c] + C03089[c] <=> C00008[c] + C04188[c]"	"ATP:S5-methyl-5-thio-D-ribose 1-phosphotransferase"
"R11179"	"C19569[c] + C00001[c] + C00028[c] <=> C19631[c] + C00030[c]"	"X"
"R02963"	"C00827[c] <=> C00894[c] + C00001[c]"	"lactoyl-CoA hydro-lyase"
"R10542"	"C20685[c] + C00026[c] + C00007[c] <=> C02625[c] + C00022[c] + C00042[c] + C00011[c]"	"(R)-2-(4-chloro-2-dichlorophenoxy)propanoate,2-oxoglutarate:oxygen oxidoreductase (pyruvate-forming)"
"R03046"	"C02335[c] <=> C00894[c] + C00014[c]"	"beta-alanyl-CoA ammonia-lyase (acryloyl-CoA-forming)"
"R06467"	"C11977[c] + C00005[c] + C00007[c] <=> C11978[c] + C00006[c] + C00001[c]"	"X"
"R00056"	"C01910[c] + C00001[c] <=> 2 C02171[c]"	"dinucleotide nucleotidohydrolase"
"R03738"	"C03470[c] + C00001[c] <=> C00398[c] + C01852[c]"	"3-alpha(S)-strictosidine tryptamine-lyase"
"R08293"	"C07073[c] <=> C16561[c]"	"X"
"R02848"	"C00002[c] + C00738[c] <=> C00008[c] + C02965[c]"	"ATP:D-hexose 6-phosphotransferase"
"R06025"	"G10615[c] + G00050[c] <=> G10620[c] + G00060[c]"	"X"
"R05822"	"2 C01993[c] + C00007[c] <=> 2 C11631[c]"	"5'-oxoinosine:oxygen 5'-oxidoreductase"
"R03699"	"C00013[c] + C15586[c] <=> C00009[c] + C05325[c]"	"diphosphate:purine nucleoside phosphotransferase"
"R12523"	"C22210[c] + C00003[c] <=> C21272[c] + C00004[c] + C00011[c] + C00080[c]"	"4-amino-4-deoxyprephenate:NAD+ oxidoreductase (decarboxylating)"
"R00543"	"C02119[c] + C00001[c] <=> C00060[c] + C00022[c]"	"3-acylpyruvate acylhydrolase"
