"Abbreviation"	"Description"	"Formula"
"C04390[c]"	"N6-Acetyl-LL-2,6-diaminoheptanedioate"	"C9H16N2O5"
"C04391[c]"	"O-Phospho-microsomal-membrane protein"	"C4H7N2O6PR2"
"C04392[c]"	"P1,P4-Bis(5'-xanthosyl) tetraphosphate"	"C20H26N8O23P4"
"C04394[c]"	"Peptidoglycan(N-acetyl-D-glucosamine)"	"(C19H30N3O11R)n"
"C04395[c]"	"Phospho-[DNA-directed RNA polymerase]"	"X"
"C04397[c]"	"Procollagen trans-3-hydroxy-L-proline"	"C6H8N2O3R2"
"C04398[c]"	"Procollagen trans-4-hydroxy-L-proline"	"C6H8N2O3R2"
"C04399[c]"	"S-Methyl-3-phospho-1-thio-D-glycerate"	"C4H9O6PS"
"C04404[c]"	"trans-4-Hydroxycyclohexanecarboxylate"	"C7H12O3"
"C04405[c]"	"(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA"	"C26H44N7O18P3S"
"C04409[c]"	"2-Amino-3-carboxymuconate semialdehyde"	"C7H7NO5"
"C04411[c]"	"(2R,3S)-3-Isopropylmalate"	"C7H12O5"
"C04415[c]"	"4-O-beta-D-Glucosyl-4-hydroxycinnamate"	"C15H18O8"
"C04416[c]"	"5alpha-Ergosta-7,22-diene-3beta,5-diol"	"C28H46O2"
"C04419[c]"	"Carboxybiotin-carboxyl-carrier protein"	"C18H26N5O6SR2"
"C04420[c]"	"alpha-D-Fructofuranose-beta-D-fructofuranose 2',1:2,3'-dianhydride"	"C12H20O10"
"C04421[c]"	"N-Succinyl-LL-2,6-diaminoheptanedioate"	"C11H18N2O7"
"C04422[c]"	"N6-Alkylaminopurine-7-beta-D-glucoside"	"C11H14N5O5R"
"C04425[c]"	"S-Adenosyl-4-methylthio-2-oxobutanoate"	"C15H20N5O6S"
"C04426[c]"	"UDP-N-acetyl-D-galactosamine 4-sulfate"	"C17H27N3O20P2S"
"C04429[c]"	"beta-D-Glucosylpoly(ribitol phosphate)"	"(C11H21O12P)n"
"C04431[c]"	"cis-4-Carboxymethylenebut-2-en-4-olide"	"C6H4O4"
"C04432[c]"	"tRNA containing 6-isopentenyladenosine"	"C15H22N5O7P(C5H8O6PR)n(C5H8O6PR)n"
"C04433[c]"	"(6E)-8-Hydroxylinalool"	"C10H18O2"
"C04434[c]"	"(1E)-4-Oxobut-1-ene-1,2,4-tricarboxylate"	"C7H6O7"
"C04435[c]"	"(Z)-2-Methyl-5-isopropylhexa-2,5-dienal"	"C10H16O"
"C04437[c]"	"1-(5-Phosphoribosyl)imidazole-4-acetate"	"C10H15N2O9P"
"C04438[c]"	"1-Acyl-sn-glycero-3-phosphoethanolamine"	"C6H13NO7PR"
"C04441[c]"	"Peptide 2-(3-carboxy-3-aminopropyl)-L-histidine"	"C11H15N5O4R2"
"C04442[c]"	"2-Dehydro-3-deoxy-6-phospho-D-gluconate"	"C6H11O9P"
"C04443[c]"	"3-O-Methylquercetin"	"C16H12O7"
"C04444[c]"	"3,7,4'-Tri-O-methylquercetin"	"C18H16O7"
"C04445[c]"	"3,4-Dehydrothiomorpholine-3-carboxylate"	"C5H7NO2S"
"C04446[c]"	"3-(3,4-Dihydroxypyridin-1-yl)-L-alanine"	"C8H11N2O4"
"C04447[c]"	"3-Carboxy-4-methoxy-N-methyl-2-pyridone"	"C8H9NO4"
"C04448[c]"	"3-Hydroxymethyl ceph-3-em-4-carboxylate"	"C9H8N2O5SR2"
"C04453[c]"	"4alpha-Methyl-5alpha-cholest-7-en-3-one"	"C28H46O"
"C04454[c]"	"5-Amino-6-(5'-phospho-D-ribitylamino)uracil"	"C9H17N4O9P"
"C04457[c]"	"D-Alanyl-alanyl-poly(glycerolphosphate)"	"H2O(C9H17N2O7P)n"
"C04459[c]"	"Glucuronoxylan 4-O-methyl-D-glucuronate"	"(C22H34O18)n"
"C04462[c]"	"N-Succinyl-2-L-amino-6-oxoheptanedioate"	"C11H15NO8"
"C04465[c]"	"alpha,alpha'-Trehalose 6,6'-bismycolate"	"C76H142O15"
"C04466[c]"	"alpha-2,8-Linked polymer of sialic acid"	"(C10H14NO8R)n"
"C04468[c]"	"(+)-cis-3,4-Dihydrophenanthrene-3,4-diol"	"C14H12O2"
"C04471[c]"	"(4S,5S)-4,5-Dihydroxy-2,6-dioxohexanoate"	"C6H8O6"
"C04473[c]"	"3-alpha-D-Galactosyl-[lipopolysaccharide glucose]"	"X"
"C04475[c]"	"1-Alkyl-2-acylglycerophosphoethanolamine"	"C6H12NO7PR2"
"C04476[c]"	"1-Alkyl-sn-glycero-3-phosphoethanolamine"	"C5H13NO6PR"
"C04477[c]"	"1D-myo-Inositol 1,3,4,6-tetrakisphosphate"	"C6H16O18P4"
"C04478[c]"	"3-Deoxy-D-manno-octulosonate 8-phosphate"	"C8H15O11P"
"C04479[c]"	"2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate"	"C9H10O6"
"C04480[c]"	"3-Carboxy-2-hydroxymuconate semialdehyde"	"C7H6O6"
"C04482[c]"	"3-O-L-Lysyl-1-O-phosphatidylglycerol"	"C14H25N2O11PR2"
"C04483[c]"	"Deoxycholic acid"	"C24H40O4"
"C04484[c]"	"4-Carboxy-2-hydroxymuconate semialdehyde"	"C7H6O6"
"C04485[c]"	"5-(4-Acetoxybut-1-ynyl)-2,2'-bithiophene"	"C14H12O2S2"
"C04486[c]"	"5-(4-Hydroxybut-1-ynyl)-2,2'-bithiophene"	"C12H10OS2"
"C04487[c]"	"5-(D-Galactosyloxy)-L-lysine-procollagen"	"C13H23N3O8R2"
"C04488[c]"	"5-Methyl-5,6,7,8-tetrahydromethanopterin"	"C31H47N6O16P"
"C04489[c]"	"5-Methyltetrahydropteroyltri-L-glutamate"	"C30H39N9O12"
"C04494[c]"	"Guanosine 3'-diphosphate 5'-triphosphate"	"C10H18N5O20P5"
"C04498[c]"	"p-Coumaroylagmatine"	"C14H20N4O2"
"C04500[c]"	"N-Acetyl-D-glucosaminyldiphosphodolichol"	"C28H51NO12P2(C5H8)n"
"C04501[c]"	"N-Acetyl-alpha-D-glucosamine 1-phosphate"	"C8H16NO9P"
"C04502[c]"	"N-Acetyl-beta-D-glucosaminyl-glycopeptide"	"C8H14NO6R"
"C04503[c]"	"N'-Phosphoguanidinoethyl methyl phosphate"	"C4H13N3O7P2"
"C04504[c]"	"N3-Acetyl-2-deoxystreptamine antibiotic"	"C8H14N2O4R2"
"C04505[c]"	"Polysialic acid acetylated at O-7"	"(C12H16NO9R)n"
"C04506[c]"	"Protein C-terminal S-farnesyl-L-cysteine"	"C20H33N2O3SR(C2H2NOR)n"
"C04507[c]"	"alpha-D-Galactosyl-diphosphoundecaprenol"	"C61H102O12P2"
"C04509[c]"	"di-trans,poly-cis-Decaprenyl diphosphate"	"C50H84O7P2"
"C04510[c]"	"3-[(3S)-3-Amino-3-carboxypropyl]-uridine in tRNA"	"C13H20N3O11P(C5H8O6PR)n(C5H8O6PR)n"
"C04512[c]"	"(2E,4E)-2,4-Dienoyl-CoA"	"C26H39N7O17P3SR"
"C04516[c]"	"1,2,3,6-Tetrakis-O-galloyl-beta-D-glucose"	"C34H28O22"
"C04517[c]"	"1-(1-Alkenyl)-sn-glycero-3-phosphocholine"	"C10H22NO6PR"
"C04518[c]"	"17alpha,20alpha-Dihydroxypregn-4-en-3-one"	"C21H32O3"
"C04520[c]"	"1D-myo-Inositol 3,4,5,6-tetrakisphosphate"	"C6H16O18P4"
"C04522[c]"	"2-Chloro-2,5-dihydro-5-oxofuran-2-acetate"	"C6H5ClO4"
"C04524[c]"	"2-Protocatechoylphloroglucinolcarboxylate"	"C14H10O8"
"C04525[c]"	"Fecosterol"	"C28H46O"
"C04527[c]"	"Corniculatusin"	"C16H12O8"
"C04529[c]"	"(3S,4S)-3-Hydroxytetradecane-1,3,4-tricarboxylate"	"C17H30O7"
"C04530[c]"	"4,4-Dimethyl-5alpha-cholest-7-en-3beta-ol"	"C29H50O"
"C04534[c]"	"6-Phospho-beta-D-glucosyl-(1,4)-D-glucose"	"C12H23O14P"
"C04536[c]"	"Magnesium protoporphyrin monomethyl ester"	"C35H34MgN4O4"
"C04537[c]"	"N,N'-Diacetylchitobiosyldiphosphodolichol"	"C36H64N2O17P2(C5H8)n"
"C04539[c]"	"N-Acetyl-D-glucosaminyllipopolysaccharide"	"X"
"C04540[c]"	"N4-(Acetyl-beta-D-glucosaminyl)asparagine"	"C12H21N3O8"
"C04542[c]"	"Protein beta-D-galactosyl-L-hydroxylysine"	"C13H23N3O8R2"
"C04544[c]"	"gamma-L-Glutamyl-L-cysteinyl-beta-alanine"	"C11H19N3O6S"
"C04545[c]"	"tRNA containing 2'-O-methylguanosine"	"C11H16N5O8P(C5H8O6PR)n(C5H8O6PR)n"
"C04546[c]"	"(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate"	"C8H14O5"
"C04547[c]"	"1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene"	"C16H16O4"
"C04549[c]"	"1-Phosphatidyl-1D-myo-inositol 3-phosphate"	"C11H18O16P2R2"
"C04552[c]"	"Chrysosplenol D"	"C18H16O8"
"C04553[c]"	"3-Carboxy-2,5-dihydro-5-oxofuran-2-acetate"	"C7H6O6"
"C04554[c]"	"3alpha,7alpha-Dihydroxy-5beta-cholestanate"	"C27H46O4"
"C04555[c]"	"Dehydroepiandrosterone sulfate"	"C19H28O5S"
"C04556[c]"	"4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine"	"C6H10N3O4P"
"C04558[c]"	"3-Methylmuconolactone"	"C7H8O4"
"C04559[c]"	"4-Methylmuconolactone"	"C7H8O4"
"C04561[c]"	"Benzyl (2R,3S)-2-methyl-3-hydroxybutanoate"	"C12H16O3"
"C04563[c]"	"D-myo-Inositol 1,2,4,5,6-pentakisphosphate"	"C6H17O21P5"
"C04564[c]"	"[Isocitrate dehydrogenase (NADP+)] phosphate"	"C4H7N2O6PR2"
"C04565[c]"	"Low-density lipoprotein O-phospho-L-serine"	"C4H7N2O6PR2"
"C04566[c]"	"Membrane-derived-oligosaccharide D-glucose"	"X"
"C04570[c]"	"Reduced electron-transferring flavoprotein"	"X"
"C04573[c]"	"UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate"	"C17H25N3O18P2"
"C04574[c]"	"di-trans,poly-cis-Undecaprenyl diphosphate"	"C55H92O7P2"
"C04575[c]"	"(4R,5S)-4,5,6-Trihydroxy-2,3-dioxohexanoate"	"C6H8O7"
"C04576[c]"	"Pentagalloylglucose"	"C41H32O26"
"C04577[c]"	"15-OxoETE"	"C20H30O3"
"C04578[c]"	"16-Methoxy-2,3-dihydro-3-hydroxytabersonine"	"C22H28N2O4"
"C04579[c]"	"Inositol 1,2,3,5,6-pentakisphosphate"	"C6H17O21P5"
"C04581[c]"	"Tomentin"	"C17H14O8"
"C04582[c]"	"S-Methyl-5-thio-D-ribulose 1-phosphate"	"C6H13O7PS"
"C04584[c]"	"6-Imino-5-oxocyclohexa-1,3-dienecarboxylate"	"C7H5NO3"
"C04586[c]"	"Diethyl (2R,3R)-2-methyl-3-hydroxysuccinate"	"C9H16O5"
"C04589[c]"	"UDP-N-acetyl-D-galactosamine 4,6-bissulfate"	"C17H27N3O23P2S2"
"C04590[c]"	"3-(O-Geranylgeranyl)-sn-glycerol 1-phosphate"	"C23H41O6P"
"C04592[c]"	"Toluene-cis-dihydrodiol"	"C7H10O2"
"C04593[c]"	"(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate"	"C7H10O7"
"C04596[c]"	"1,1-Dichloro-2,2-bis(4-chlorophenyl)ethylene"	"C14H8Cl4"
"C04597[c]"	"1,2-Bis(3,4-dimethoxyphenyl)propane-1,3-diol"	"C19H24O6"
"C04598[c]"	"2-Acetyl-1-alkyl-sn-glycero-3-phosphocholine"	"C10H22NO7PR"
"C04599[c]"	"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine"	"C12H15N"
"C04604[c]"	"3-Hydroxy-2-methylpyridine-4,5-dicarboxylate"	"C8H7NO5"
"C04606[c]"	"5-(3,4-Diacetoxybut-1-ynyl)-2,2'-bithiophene"	"C16H14O4S2"
"C04608[c]"	"Apigenin 7-O-beta-D-glucoside"	"C21H20O10"
"C04611[c]"	"Indol-3-ylacetyl-myo-inositol L-arabinoside"	"C21H27NO11"
"C04613[c]"	"UDP-2-acetamido-4-dehydro-2,6-dideoxyglucose"	"C17H25N3O16P2"
"C04615[c]"	"alpha-D-Mannosylchitobiosyldiphosphodolichol"	"C42H74N2O22P2(C5H8)n"
"C04617[c]"	"(1S,2S)-1-Hydroxypropane-1,2,3-tricarboxylate"	"C6H8O7"
"C04618[c]"	"(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]"	"C4H7O2SR"
"C04619[c]"	"(3R)-3-Hydroxydecanoyl-[acyl-carrier protein]"	"C10H19O2SR"
"C04620[c]"	"(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein]"	"C8H15O2SR"
"C04621[c]"	"(E)-2-(2-Furyl)-3-(5-nitro-2-furyl)acrylamide"	"C11H8N2O5"
"C04622[c]"	"(Z)-2-(2-Furyl)-3-(5-nitro-2-furyl)acrylamide"	"C11H8N2O5"
"C04623[c]"	"DDT"	"C14H9Cl5"
"C04625[c]"	"2,4-Dichloro-2,5-dihydro-5-oxofuran-2-acetate"	"C6H4Cl2O4"
"C04628[c]"	"Coenzyme B"	"C11H22NO7PS"
"C04630[c]"	"UDP-2-acetamido-4-amino-2,4,6-trideoxy-alpha-D-glucose"	"C17H28N4O15P2"
"C04631[c]"	"UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine"	"C20H29N3O19P2"
"C04632[c]"	"[Hydroxymethylglutaryl-CoA reductase (NADPH)]"	"C4H6N2O3R2"
"C04633[c]"	"(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein]"	"C16H31O2SR"
"C04634[c]"	"1,6-Dihydroxycyclohexa-2,4-diene-1-carboxylate"	"C7H8O4"
"C04635[c]"	"1-(1-Alkenyl)-sn-glycero-3-phosphoethanolamine"	"C7H15NO6PR"
"C04636[c]"	"1-Acyl-2-linoleoyl-sn-glycero-3-phosphocholine"	"C27H50NO8PR"
"C04637[c]"	"1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate"	"C11H19O19P3R2"
"C04638[c]"	"2,3-Bis-(O-geranylgeranyl)-sn-glycerol 1-phosphate"	"C43H73O6P"
"C04639[c]"	"2,4-Dioxotetrahydropyrimidine D-ribonucleotide"	"C9H15N2O9P"
"C04640[c]"	"2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine"	"C8H16N3O8P"
"C04641[c]"	"2-(alpha-D-Galactosyl)-sn-glycerol 3-phosphate"	"C9H19O11P"
"C04642[c]"	"2-Hydroxy-5-carboxymethylmuconate semialdehyde"	"C8H8O6"
"C04643[c]"	"7-Oxodeoxycholate"	"C24H38O5"
"C04644[c]"	"3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA"	"C48H80N7O19P3S"
"C04645[c]"	"6-(D-Glucose-1-phospho)-D-mannosylglycoprotein"	"C12H22O14PR"
"C04646[c]"	"6-Thioinosine-5'-monophosphate"	"C10H13N4O7PS"
"C04648[c]"	"alpha-L-Fucosyl-1,2-beta-D-galactoside"	"C12H21O10R"
"C04649[c]"	"Heparan sulfate N-acetyl-alpha-D-glucosaminide"	"C8H14NO6(C12H19NO19S3)n"
"C04650[c]"	"L-Phosphinothricin"	"C5H12NO4P"
"C04652[c]"	"UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine"	"C43H77N3O20P2"
"C04654[c]"	"(13E)-11alpha-Hydroxy-9,15-dioxoprost-13-enoate"	"C20H32O5"
"C04655[c]"	"(2S,3S)-2-Hydroxytridecane-1,2,3-tricarboxylate"	"C16H28O7"
"C04656[c]"	"1,3-beta-D-Galactosyl-N-acetyl-D-glucosaminyl-R"	"C14H24NO11R"
"C04661[c]"	"3alpha,7alpha,12beta-Trihydroxy-5beta-cholanate"	"C24H40O5"
"C04666[c]"	"D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate"	"C6H11N2O6P"
"C04667[c]"	"N-Acetyl-D-glucosaminyl-poly(ribitol phosphate)"	"(C13H24NO12P)n"
"C04670[c]"	"(1S,4S)-4-Hydroxy-3-oxocyclohexane-1-carboxylate"	"C7H10O4"
"C04671[c]"	"(5Z)-11alpha-Hydroxy-9,15-dioxoprostanoate"	"C20H32O5"
"C04672[c]"	"(9Z,15Z)-(13S)-12,13-Epoxyoctadeca-9,11,15-trienoic acid"	"C18H28O3"
"C04673[c]"	"1D-1-Guanidino-1-deoxy-3-dehydro-scyllo-inositol"	"C7H13N3O5"
"C04674[c]"	"3-D-Glucuronosyl-N2,6-disulfo-beta-D-glucosamine"	"C12H21NO17S2"
"C04675[c]"	"3-Hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA"	"C32H52N7O20P3S"
"C04676[c]"	"Testololactone"	"C19H26O3"
"C04677[c]"	"1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide"	"C9H15N4O8P"
"C04678[c]"	"Archaeal dolichyl N-acetyl-alpha-D-glucosaminyl phosphate"	"C28H52NO9P(C5H8)n"
"C04679[c]"	"Protein N6-[(R)-4-amino-2-hydroxybutyl]-L-lysine"	"C11H22N4O3R2"
"C04680[c]"	"Retinyl-ester-(cellular-retinol-binding-protein)"	"C21H29O2R"
"C04681[c]"	"[Acetyl-CoA:carbon-dioxide ligase (ADP-forming)]"	"C17H27N5O4SR2"
"C04682[c]"	"[Methylmalonyl-CoA:pyruvate carboxytransferase]"	"C17H27N5O4SR2"
"C04683[c]"	"alpha-N-Acetylneuraminyl-2,3-beta-D-galactosyl-R"	"C17H28NO14R"
"C04685[c]"	"(13E)-(15S)-15-Hydroxy-9-oxoprosta-10,13-dienoate"	"C20H32O4"
"C04686[c]"	"(13E)-(15S)-15-Hydroxy-9-oxoprosta-11,13-dienoate"	"C20H32O4"
"C04687[c]"	"(1S,3R,4S)-3,4-Dihydroxycyclohexane-1-carboxylate"	"C7H12O4"
"C04688[c]"	"(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]"	"C14H27O2SR"
"C04690[c]"	"2-(Hydroxymethyl)-3-(acetamidomethylene)succinate"	"C8H11NO6"
"C04691[c]"	"2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate"	"C7H13O10P"
"C04692[c]"	"Peptide 2-[3-carboxy-3-(methylammonio)propyl]-L-histidine"	"C12H17N5O4R2"
"C04695[c]"	"5-O-(Indol-3-ylacetyl-myo-inositol) D-galactoside"	"C22H29NO12"
"C04696[c]"	"7-Methylguanosine 5'-triphospho-5'-oligonucleotide"	"C11H18N5O11P2(C5H8O6PR)n"
"C04698[c]"	"Methyl-2-alpha-L-fucopyranosyl-beta-D-galactoside"	"C13H24O10"
"C04702[c]"	"UDPMurNAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)"	"C40H65N9O26P2"
"C04703[c]"	"alpha-D-Galactosyl-(1,1')-sn-glycerol 3-phosphate"	"C9H19O11P"
"C04706[c]"	"cis-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide"	"C6H3ClO4"
"C04707[c]"	"(5Z,13E)-11alpha-Hydroxy-9,15-dioxoprost-5,13-dienoate"	"C20H30O5"
"C04708[c]"	"1-(beta-D-Galactosyl)-2-(2-hydroxyacyl)sphingosine"	"C26H48NO9R"
"C04711[c]"	"5-(3-Hydroxy-4-acetoxybut-1-ynyl)-2,2'-bithiophene"	"C14H12O3S2"
"C04712[c]"	"(7R)-7-(5-Carboxy-5-oxopentanoyl)aminocephalosporinate"	"C16H18N2O9S"
"C04713[c]"	"N6-(delta2-Isopentenyl)-adenosine 5'-monophosphate"	"C15H22N5O7P"
"C04715[c]"	"Nuatigenin"	"C27H42O4"
"C04717[c]"	"(9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoic acid"	"C18H32O4"
"C04718[c]"	"1,6,6-Trimethyl-2,7-dioxabicyclo[3.2.2]nonan-3-one"	"C10H16O3"
"C04719[c]"	"1-Hydroxy-2-(beta-D-glucosyloxy)-9,10-anthraquinone"	"C20H18O9"
"C04720[c]"	"DIMBOA"	"C9H9NO5"
"C04722[c]"	"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate"	"C27H46O5"
"C04724[c]"	"alpha-D-Mannosyl-(1->4)-alpha-L-rhamnosyl-(1->3)-alpha-D-galactosyl-diphosphoundecaprenol"	"C73H122O21P2"
"C04725[c]"	"Oligosaccharide containing 6-methyl-D-glucose units"	"(C19H32O15)n"
"C04726[c]"	"[3-Methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)]"	"C4H6N2O3R2"
"C04727[c]"	"[Propionyl-CoA:carbon-dioxide ligase (ADP-forming)]"	"C17H27N5O4SR2"
"C04728[c]"	"tRNA containing 5-[(methylamino)methyl]-2-thiouridylate"	"C11H18N3O8PS(C5H8O6PR)n(C5H8O6PR)n"
"C04729[c]"	"trans-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide"	"C6H3ClO4"
"C04730[c]"	"GM3"	"C42H73N2O21R"
"C04731[c]"	"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine N-oxide"	"C12H15NO"
"C04732[c]"	"5-Amino-6-(1-D-ribitylamino)uracil"	"C9H16N4O6"
"C04734[c]"	"1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide"	"C10H15N4O9P"
"C04735[c]"	"Apo-[acetyl-CoA:carbon-dioxide ligase (ADP-forming)]"	"C7H13N3O2R2"
"C04736[c]"	"Apo-[methylmalonyl-CoA:pyruvate carboxytransferase]"	"C7H13N3O2R2"
"C04737[c]"	"alpha-D-Galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide"	"C37H66NO18R"
"C04738[c]"	"UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine"	"C31H53N3O19P2"
"C04739[c]"	"UDP-N-acetyl-6-(alpha-D-galactose-1-phospho)-alpha-D-glucosamine"	"C23H38N3O25P3"
"C04740[c]"	"alpha-N-Acetylneuraminyl-2,6-beta-galactosyl-1,4-beta-D-glucosylceramide"	"C42H73N2O21R"
"C04741[c]"	"Alprostadil"	"C20H34O5"
"C04742[c]"	"(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate"	"C20H32O3"
"C04748[c]"	"Protein C-terminal S-farnesyl-L-cysteine methyl ester"	"C21H35N2O3SR(C2H2NOR)n"
"C04749[c]"	"[[Hydroxymethylglutaryl-CoA reductase (NADPH)]kinase]"	"X"
"C04750[c]"	"beta-D-Galactosyl-1,3-N-acetyl-alpha-D-galactosaminyl-R"	"C14H24NO11R"
"C04751[c]"	"1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate"	"C9H14N3O9P"
"C04752[c]"	"4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate"	"C6H11N3O7P2"
"C04755[c]"	"Glycoprotein N-acetyl-D-glucosaminyl-phospho-D-mannose"	"C14H25NO14PR"
"C04756[c]"	"O-1-Alk-1-enyl-2-acyl-sn-glycero-3-phosphoethanolamine"	"C8H14NO7PR2"
"C04758[c]"	"(5Z,13E)-9alpha-Hydroxy-11,15-dioxoprosta-5,13-dienoate"	"C20H30O5"
"C04759[c]"	"1,2-D-Glucosyl-5-D-(galactosyloxy)-L-lysine-procollagen"	"C19H33N3O13R2"
"C04760[c]"	"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoyl-CoA"	"C48H80N7O20P3S"
"C04763[c]"	"Apo-[propionyl-CoA:carbon-dioxide ligase (ADP-forming)]"	"C7H13N3O2R2"
"C04767[c]"	"O-(1->4)-alpha-L-Dihydrostreptosyl-streptidine 6-phosphate"	"C14H29N6O11P"
"C04768[c]"	"[Hydroxymethylglutaryl-CoA reductase (NADPH)] phosphate"	"C4H7N2O6PR2"
"C04771[c]"	"L-Mimosine"	"C8H10N2O4"
"C04772[c]"	"1,6-alpha-D-Mannosyl-1,6-alpha-D-mannosyloligosaccharide"	"C18H31O16(C12H20O10)n"
"C04773[c]"	"3-Hydroxy-4-hydroxymethyl-2-methylpyridine-5-carboxylate"	"C8H9NO4"
"C04775[c]"	"D-Galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-R"	"C18H31O16R"
"C04776[c]"	"Peptide beta-D-galactosyl-(1->3)-N-acetyl-alpha-D-galactosaminyl-L-serine"	"C18H29N3O13R2"
"C04778[c]"	"N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole"	"C14H19N2O7P"
"C04780[c]"	"(9S,13S,15Z)-12-Oxo-10,11-dihydrophyto-15-enoate"	"C18H30O3"
"C04783[c]"	"cis-4,5-Dihydroxycyclohexa-1(6),2-diene-1,2-dicarboxylate"	"C8H8O6"
"C04785[c]"	"13(S)-HPOT"	"C18H30O4"
"C04789[c]"	"Lysosomal-enzyme N-acetyl-D-glucosaminyl-phospho-D-mannose"	"C14H25NO14PR"
"C04791[c]"	"beta-D-Galactosyl-1,4-N-acetyl-D-glucosaminyl-glycoprotein"	"C14H24NO11R"
"C04792[c]"	"1-Acyl-2-[(S)-12-hydroxyoleoyl]-sn-glycero-3-phosphocholine"	"C27H52NO9PR"
"C04793[c]"	"3,4-Dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione"	"C19H24O4"
"C04794[c]"	"3-(4-Deoxy-beta-D-gluc-4-enuronosyl)-N-acetyl-D-glucosamine"	"C14H21NO11"
"C04796[c]"	"4-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde"	"C9H11NO6"
"C04797[c]"	"5-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde"	"C9H11NO6"
"C04798[c]"	"5-Amino-4-chloro-2-(2,3-dihydroxyphenyl)-3(2H)-pyridazinone"	"C10H8ClN3O3"
"C04800[c]"	"D-Glucuronyl-N-acetyl-1,3-beta-D-galactosaminylproteoglycan"	"C41H63N3O34R2"
"C04801[c]"	"[3-Methylcrotonoyl-CoA:carbon-dioxide ligase (ADP-forming)]"	"C17H27N5O4SR2"
"C04802[c]"	"m7G(5')pppRm-mRNA"	"C22H36N5O23P4R(R1)(C5H8O6PR)n"
"C04804[c]"	"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimeloyl-D-alanine"	"C38H60N8O27P2"
"C04805[c]"	"5(S)-HETE"	"C20H32O3"
"C04806[c]"	"17alpha-(N-Acetyl-D-glucosaminyl)-estradiol 3-D-glucuronoside"	"C32H45NO13"
"C04807[c]"	"6-Hydroxymethyl-7,8-dihydropterin diphosphate"	"C7H11N5O8P2"
"C04808[c]"	"alpha-D-Abequosyl-(1->3)-alpha-D-mannosyl-(1->4)-alpha-L-rhamnosyl-(1->3)-alpha-D-galactosyl-diphosphoundecaprenol"	"C79H132O24P2"
"C04809[c]"	"Membrane-derived-oligosaccharide 6-(glycerophospho)-D-glucose"	"X"
"C04810[c]"	"Oligosaccharide with 4-deoxy-alpha-D-gluc-4-enuronosyl group"	"C6H7O6(C6H8O6)n"
"C04814[c]"	"4alpha-Hydroxymethyl-4beta-methyl-5alpha-cholest-7-en-3beta-ol"	"C29H50O2"
"C04815[c]"	"5-D-(5/6)-5-C-(Hydroxymethyl)-2,6-dihydroxycyclohex-2-en-1-one"	"C7H10O4"
"C04816[c]"	"Dephospho-[[hydroxymethylglutaryl-CoA reductase (NADPH)]kinase]"	"X"
