,Abbreviation,Description,Reaction
9218,DECOAR227_2E4Z7Z10Z13Z16Z19Z_x,"2,4-dienoyl-CoA reductase (NADPH) (22:7(2E,4Z,7Z,10Z,13Z,16Z,19Z))",dcos24710131619coa_x + h_x + nadph_x <==> dcos3710131619coa_x + nadp_x
9219,ECH226_2E7Z10Z13Z16Z19Z_x,"Enoyl-CoA hydratase (22:6(2E,7Z,10Z,13Z,16Z,19Z))",dcos2710131619coa_x + h2o_x <==> 3hdcos710131619coa_x
9220,HADH225_3H7Z10Z13Z16Z19Z_x,"3-hydroxacyl-CoA dehydrogenase (22:5 3-hydroxy-(7Z,10Z,13Z,16Z,19Z))",3hdcos710131619coa_x + nad_x <==> 3odcos710131619coa_x + h_x + nadh_x
9221,PEROX_x,Peroxide from FADH2 (sponaneous),fadh2_x + o2_x <==> fad_x + h2o2_x
9222,CATC5ZOC_x,Carnitine acyltransferase (5Z-octenoyl-CoA),crn_x + oc5coa_x <==> coa_x + oc5crn_x
9223,TMLt_m,Trimethyl lysine transport (Cytosol to mitochondria),tmlys_c <==> tmlys_m
9224,TMLOX_m,Trimethyl lysine dioxygenase,akg_m + o2_m + tmlys_m <==> 3htmelys_m + co2_m + succ_m
9225,HMDHPS_c,"6-hydroxymethyl-7,8-dihydropterin synthase",ahdt_c + h2o_c <==> 6hmhpt_c + ac_c + h_c + pppi_c
9226,TMABDH1_m,Trimethylammoniobutanal dehydrogenase,4tmeabut_m + h2o_m + nad_m <==> gbbtn_m + 2.0 h_m + nadh_m
9227,GBBOX_m,Gamma-butyrobetaine dioxygenase,akg_m + gbbtn_m + o2_m <==> co2_m + crn_m + succ_m
9228,CATC180_c,Carnitine acyltransferase (C18:0),crn_c + ocdccoa_c <==> coa_c + stcrn_c
9229,CATC1629Z12Z_c,"Carnitine acyltransferase (C16:2(9Z,12Z))",crn_c + hd912coa_c <==> coa_c + hd912crn_c
9230,CATC1636Z9Z12Z_c,"Carnitine acyltransferase (C16:3(6Z,9Z,12Z))",crn_c + hd6912coa_c <==> coa_c + hd6912crn_c
9231,CARN815t_m,5Z-octenoyl-l-carnitine:carnitine antiport (Cytosol to mitochondira),crn_m + oc5crn_c <==> crn_c + oc5crn_m
9232,CARN180t_m,Octadecanoyl-l-carnitine:carnitine antiport (Cytosol to mitochondira),crn_m + stcrn_c <==> crn_c + stcrn_m
9233,CARN1829Z12Zt_m,"(9Z,12Z)-octadecadienoyl-l-carnitine:carnitine antiport (Cytosol to mitochondira)",crn_m + lnlccrn_c <==> crn_c + lnlccrn_m
9234,CARN140t_m,Tetradecanoyl-l-carnitine:carnitine antiport (Cytosol to mitochondira),crn_m + ttdcrn_c <==> crn_c + ttdcrn_m
9235,CARN1629Z12Zt_m,"(9Z,12Z)-hexadecadienoyl-l-carnitine:carnitine antiport (Cytosol to mitochondira)",crn_m + hd912crn_c <==> crn_c + hd912crn_m
9236,CARN1636Z9Z12Zt_m,"(6Z,9Z,12Z)-hexadecatrienoyl-l-carnitine:carnitine antiport (Cytosol to mitochondira)",crn_m + hd6912crn_c <==> crn_c + hd6912crn_m
9237,CARN1646Z9Z12Z15Zt_m,"(6Z,9Z,12Z,15Z)-hexadecatetrenoyl-l-carnitine:carnitine antiport (Cytosol to mitochondira)",crn_m + hd691215crn_c <==> crn_c + hd691215crn_m
9238,CAT280_m,Carnitine acyltransferase II (Octanoyl-CoA forming),coa_m + octcrn_m <==> crn_m + occoa_m
9239,CAT2815_m,Carnitine acyltransferase II (5Z-octenoyl-CoA forming),coa_m + oc5crn_m <==> crn_m + oc5coa_m
9240,CAT21629Z12Z_m,"Carnitine acyltransferase II ((9Z,12Z)-hexadecadienoyl-CoA forming)",coa_m + hd912crn_m <==> crn_m + hd912coa_m
9241,ACOADH140_m,Acyl-CoA dehydrogenase (14:0),fad_m + tdcoa_m <==> fadh2_m + td2coa_m
9242,ACOADH120_m,Acyl-CoA dehydrogenase (12:0),ddcacoa_m + fad_m <==> dd2coa_m + fadh2_m
9243,ACOADH80_m,Acyl-CoA dehydrogenase (8:0),fad_m + occoa_m <==> fadh2_m + oc2coa_m
9244,ACOADH60_m,Acyl-CoA dehydrogenase (6:0),fad_m + hxcoa_m <==> fadh2_m + hx2coa_m
9245,ACOADH81_5Z_m,Acyl-CoA dehydrogenase (8:1(5Z)),fad_m + oc5coa_m <==> fadh2_m + oc25coa_m
9246,HADH81_3H5Z_m,3-hydroxacyl-CoA dehydrogenase (8:1 3-hydroxy-(5Z)),3hoc5coa_m + nad_m <==> 3ooc5coa_m + h_m + nadh_m
9247,KAT181_3OXO9Z_m,Beta-ketoacyl CoA thiolase (18:1 3-oxo-(9Z)),3ood9coa_m + coa_m <==> accoa_m + hd7coa_m
9248,HADH161_3H7Z_m,3-hydroxacyl-CoA dehydrogenase (16:1 3-hydroxy-(7Z)),3hhd7coa_m + nad_m <==> 3ohd7coa_m + h_m + nadh_m
9249,KAT161_3OXO7Z_m,Beta-ketoacyl CoA thiolase (16:1 3-oxo-(7Z)),3ohd7coa_m + coa_m <==> accoa_m + td5coa_m
9250,ACOADH141_5Z_m,Acyl-CoA dehydrogenase (14:1(5Z)),fad_m + td5coa_m <==> fadh2_m + td25coa_m
9251,ECH142_2E5Z_m,"Enoyl-CoA hydratase (14:2(2E,5Z))",h2o_m + td25coa_m <==> 3htd5coa_m
9252,HADH141_3H5Z_m,3-hydroxacyl-CoA dehydrogenase (14:1 3-hydroxy-(5Z)),3htd5coa_m + nad_m <==> 3otd5coa_m + h_m + nadh_m
9253,KAT141_3OXO5Z_m,Beta-ketoacyl CoA thiolase (14:1 3-oxo-(5Z)),3otd5coa_m + coa_m <==> accoa_m + dd3coa_m
9254,ECH183_2E9Z12Z_m,"Enoyl-CoA hydratase (18:3(2E,9Z,12Z))",h2o_m + od2912coa_m <==> 3hod912coa_m
9255,ACOADH142_5Z8Z_m,"Acyl-CoA dehydrogenase (14:2(5Z,8Z))",fad_m + td58coa_m <==> fadh2_m + td258coa_m
9256,HADH142_3H5Z8Z_m,"3-hydroxacyl-CoA dehydrogenase (14:2 3-hydroxy-(5Z,8Z))",3htd58coa_m + nad_m <==> 3otd58coa_m + h_m + nadh_m
9257,ECOAI122_3Z6Z_m,"Delta-3(Z)-Delta-2(E)-enoyl-CoA isomerase (12:2(3Z,6Z))",dd36coa_m <==> dd26coa_m
9258,ECH122_2E6Z_m,"Enoyl-CoA hydratase (12:2(2E,6Z))",dd26coa_m + h2o_m <==> 3hd6coa_m
9259,HADH121_3H6Z_m,3-hydroxacyl-CoA dehydrogenase (12:1 3-hydroxy-(6Z)),3hd6coa_m + nad_m <==> 3od6coa_m + h_m + nadh_m
9260,KAT121_3OXO6Z_m,Beta-ketoacyl CoA thiolase (12:1 3-oxo-(6Z)),3od6coa_m + coa_m <==> accoa_m + dd4coa_m
9261,ACOADH101_4Z_m,Acyl-CoA dehydrogenase (10:1(4Z)),dd4coa_m + fad_m <==> c4dde2coa_m + fadh2_m
9262,ECOAI101_3E_m,Delta-3(Z)-Delta-2(E)-enoyl-CoA isomerase (10:1(3E)),dc3coa_m <==> dc2coa_m
9263,ACOADH183_6Z9Z12Z_m,"Acyl-CoA dehydrogenase (18:3(6Z,9Z,12Z))",fad_m + lnlncgcoa_m <==> c6912odtte2coa_m + fadh2_m
9264,HADH183_3H6Z9Z12Z_m,"3-hydroxacyl-CoA dehydrogenase (18:3 3-hydroxy-(6Z,9Z,12Z))",3hod6912coa_m + nad_m <==> 3ood6912coa_m + h_m + nadh_m
9265,KAT183_3OXO6Z9Z12Z_m,"Beta-ketoacyl CoA thiolase (18:3 3-oxo-(6Z,9Z,12Z))",3ood6912coa_m + coa_m <==> accoa_m + hd4710coa_m
9266,ACOADH163_4Z7Z10Z_m,"Acyl-CoA dehydrogenase (16:3(4Z,7Z,10Z))",fad_m + hd4710coa_m <==> fadh2_m + hd24710coa_m
9267,ACOADH183_9Z12Z15Z_m,"Acyl-CoA dehydrogenase (18:3(9Z,12Z,15Z))",fad_m + lnlncacoa_m <==> fadh2_m + od291215coa_m
9268,ECH184_2E9Z12Z15Z_m,"Enoyl-CoA hydratase (18:4(2E,9Z,12Z,15Z))",h2o_m + od291215coa_m <==> 3hod91215coa_m
9269,HADH183_3H9Z12Z15Z_m,"3-hydroxacyl-CoA dehydrogenase (18:3 3-hydroxy-(9Z,12Z,15Z))",3hod91215coa_m + nad_m <==> 3ood91215coa_m + h_m + nadh_m
9270,KAT183_3OXO9Z12Z15Z_m,"Beta-ketoacyl CoA thiolase (18:3 3-oxo-(9Z,12Z,15Z))",3ood91215coa_m + coa_m <==> accoa_m + hd71013coa_m
9271,ACOADH163_7Z10Z13Z_m,"Acyl-CoA dehydrogenase (16:3(7Z,10Z,13Z))",fad_m + hd71013coa_m <==> fadh2_m + hd271013coa_m
9272,HADH163_3H7Z10Z13Z_m,"3-hydroxacyl-CoA dehydrogenase (16:3 3-hydroxy-(7Z,10Z,13Z))",3hhd71013coa_m + nad_m <==> 3ohd71013coa_m + h_m + nadh_m
9273,ACOADH143_5Z8Z11Z_m,"Acyl-CoA dehydrogenase (14:3(5Z,8Z,11Z))",fad_m + td5811coa_m <==> fadh2_m + td25811coa_m
9274,HADH143_3H5Z8Z11Z_m,"3-hydroxacyl-CoA dehydrogenase (14:3 3-hydroxy-(5Z,8Z,11Z))",3htd5811coa_m + nad_m <==> 3otd5811coa_m + h_m + nadh_m
9275,KAT143_3OXO5Z8Z11Z_m,"Beta-ketoacyl CoA thiolase (14:3 3-oxo-(5Z,8Z,11Z))",3otd5811coa_m + coa_m <==> accoa_m + dd369coa_m
9276,ECOAI123_3Z6Z9Z_m,"Delta-3(Z)-Delta-2(E)-enoyl-CoA isomerase (12:3(3Z,6Z,9Z))",dd369coa_m <==> dd269coa_m
9277,ECH123_2E6Z9Z_m,"Enoyl-CoA hydratase (12:3(2E,6Z,9Z))",dd269coa_m + h2o_m <==> 3hdd69coa_m
9278,HADH122_3H6Z9Z_m,"3-hydroxacyl-CoA dehydrogenase (12:2 3-hydroxy-(6Z,9Z))",3hdd69coa_m + nad_m <==> 3od69coa_m + h_m + nadh_m
9279,ACOADH102_4Z7Z_m,"Acyl-CoA dehydrogenase (10:2(4Z,7Z))",dc47coa_m + fad_m <==> dc247coa_m + fadh2_m
9280,KAT101_3OXO7Z_m,Beta-ketoacyl CoA thiolase (10:1 3-oxo-(7Z)),3odc7coa_m + coa_m <==> accoa_m + oc5coa_m
9281,ACOADH161_9Z_m,Acyl-CoA dehydrogenase (16:1(9Z)),fad_m + hdcoa_m <==> fadh2_m + hd29coa_m
9282,ECH162_2E9Z_m,"Enoyl-CoA hydratase (16:2(2E,9Z))",h2o_m + hd29coa_m <==> 3hhd9coa_m
9283,HADH161_3H9Z_m,3-hydroxacyl-CoA dehydrogenase (16:1 3-hydroxy-(9Z)),3hhd9coa_m + nad_m <==> 3ohd9coa_m + h_m + nadh_m
9284,ECH142_2E7Z_m,"Enoyl-CoA hydratase (14:2(2E,7Z))",h2o_m + td27coa_m <==> 3htd7coa_m
9285,HADH121_3H5Z_m,3-hydroxacyl-CoA dehydrogenase (12:1 3-hydroxy-(5Z)),3hdd5coa_m + nad_m <==> 3odd5coc_m + h_m + nadh_m
9286,KAT121_3OXO5Z_m,Beta-ketoacyl CoA thiolase (12:1 3-oxo-(5Z)),3odd5coc_m + coa_m <==> accoa_m + dd3ecoa_m
9287,ECOAI101_3Z_m,Delta-3(Z)-Delta-2(E)-enoyl-CoA isomerase (10:1(3Z)),dd3ecoa_m <==> dc2coa_m
9288,ECH163_2E9Z12Z_m,"Enoyl-CoA hydratase (16:3(2E,9Z,12Z))",h2o_m + hd2912coa_m <==> 3hhd912coa_m
9289,ECH143_2E7Z10Z_m,"Enoyl-CoA hydratase (14:3(2E,7Z,10Z))",h2o_m + td2710coa_m <==> 3htd710coa_m
9290,HADH142_3H7Z10Z_m,"3-hydroxacyl-CoA dehydrogenase (14:2 3-hydroxy-(7Z,10Z))",3htd710coa_m + nad_m <==> 3otd710coa_m + h_m + nadh_m
9291,ECH123_2E5Z8Z_m,"Enoyl-CoA hydratase (12:3(2E,5Z,8Z))",dd258coa_m + h2o_m <==> 3hdd58coa_m
9292,HADH122_3H5Z8Z_m,"3-hydroxacyl-CoA dehydrogenase (12:2 3-hydroxy-(5Z,8Z))",3hdd58coa_m + nad_m <==> 3odd58coa_m + h_m + nadh_m
9293,ECH102_2E6Z_m,"Enoyl-CoA hydratase (10:2(2E,6Z))",dc26coa_m + h2o_m <==> 3hdc6coa_m
9294,ACOADH81_4Z_m,Acyl-CoA dehydrogenase (8:1(4Z)),fad_m + oc4coa_m <==> fadh2_m + oc24coa_m
9295,ECH164_2E6Z9Z12Z_m,"Enoyl-CoA hydratase (16:4(2E,6Z,9Z,12Z))",h2o_m + hd26912coa_m <==> 3hhd6912coa_m
9296,HADH163_3H6Z9Z12Z_m,"3-hydroxacyl-CoA dehydrogenase (16:3 3-hydroxy-(6Z,9Z,12Z))",3hhd6912coa_m + nad_m <==> 3ohd6912coa_m + h_m + nadh_m
9297,ACOADH143_4Z7Z10Z_m,"Acyl-CoA dehydrogenase (14:3(4Z,7Z,10Z))",fad_m + td4710coa_m <==> fadh2_m + td24710coa_m
9298,ECOAI143_3E7Z10Z_m,"Delta-3(Z)-Delta-2(E)-enoyl-CoA isomerase (14:3(3E,7Z,10Z))",td3710coa_m <==> td2710coa_m
9299,ECH165_2E6Z9Z12Z15Z_m,"Enoyl-CoA hydratase (16:5(2E,6Z,9Z,12Z,15Z))",h2o_m + hd2691215coa_m <==> 3hhd691215coa_m
9300,KAT164_3OXO6Z9Z12Z15Z_m,"Beta-ketoacyl CoA thiolase (16:4 3-oxo-(6Z,9Z,12Z,15Z))",3ohd691215coa_m + coa_m <==> accoa_m + td471013coa_m
9301,ACOADH144_4Z7Z10Z13Z_m,"Acyl-CoA dehydrogenase (14:4(4Z,7Z,10Z,13Z))",fad_m + td471013coa_m <==> fadh2_m + td2471013coa_m
9302,ECOAI144_3E7Z10Z13Z_m,"Delta-3(Z)-Delta-2(E)-enoyl-CoA isomerase (14:4(3E,7Z,10Z,13Z))",td371013coa_m <==> td271013coa_m
9303,HADH143_3H7Z10Z13Z_m,"3-hydroxacyl-CoA dehydrogenase (14:3 3-hydroxy-(7Z,10Z,13Z))",3htd71013coa_m + nad_m <==> 3otd71013coa_m + h_m + nadh_m
9304,ACOADH123_5Z8Z11Z_m,"Acyl-CoA dehydrogenase (12:3(5Z,8Z,11Z))",dd5811coa_m + fad_m <==> dd25811coa_m + fadh2_m
9305,KAT123_3OXO5Z8Z11Z_m,"Beta-ketoacyl CoA thiolase (12:3 3-oxo-(5Z,8Z,11Z))",3odd5811coa_m + coa_m <==> accoa_m + dc369coa_m
9306,ECOAI103_3Z6Z9Z_m,"Delta-3(Z)-Delta-2(E)-enoyl-CoA isomerase (10:3(3Z,6Z,9Z))",dc369coa_m <==> dc269coa_m
9307,ECH82_2E7Z_m,"Enoyl-CoA hydratase (8:2(2E,7Z))",h2o_m + oc27coa_m <==> 3hoc7coa_m
9308,KAT81_3OXO7Z_m,Beta-ketoacyl CoA thiolase (8:1 3-oxo-(7Z)),3ooc7coa_m + coa_m <==> accoa_m + hx5coa_m
9309,ACOADH61_5Z_m,Acyl-CoA dehydrogenase (6:1(5Z)),fad_m + hx5coa_m <==> fadh2_m + hx25coa_m
9310,ECH62_2E5Z_m,"Enoyl-CoA hydratase (6:2(2E,5Z))",h2o_m + hx25coa_m <==> 3hh5coa_m
9311,BUT3ZI_m,(3Z)-butenoyl-CoA isomerase,vaccoa_m <==> b2coa_m
9312,OCACPSST_m,Octanoyl-[acp]:sulfur sulfurtransferase,2.0 amet_m + 2.0 cys__L_m + 2.0 fdxrd_m + ocACP_m <==> 2.0 ala__L_m + 2.0 dad_5_m + 2.0 fdxox_m + lipACP_m + 2.0 met__L_m
9313,3OAR40_m,3-oxoacyl-[acyl-carrier-protein] reductase (C4:0 forming)(mitochondrial),actACP_m + h_m + nadph_m <==> 3hbutACP_m + nadp_m
9314,EAR40_m,Enoyl-[acyl-carrier-protein] reductase (NADH) (C4:0 forming)(mitochondrial),but2eACP_m + h_m + nadh_m <==> butACP_m + nad_m
9315,3OAR60_m,3-oxoacyl-[acyl-carrier-protein] reductase (C6:0 forming)(mitochondrial),3ohexACP_m + h_m + nadph_m <==> 3hhexACP_m + nadp_m
9316,EAR80_m,Enoyl-[acyl-carrier-protein] reductase (NADH) (C8:0 forming)(mitochondrial),h_m + nadh_m + toct2eACP_m <==> nad_m + ocACP_m
9317,3OAR100_m,3-oxoacyl-[acyl-carrier-protein] reductase (C10:0 forming)(mitochondrial),3odecACP_m + h_m + nadph_m <==> 3hdecACP_m + nadp_m
9318,3HAD101_m,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (C10:1(2E) forming)(mitochondrial),3hdecACP_m <==> h2o_m + tdec2eACP_m
9319,EAR120_m,Enoyl-[acyl-carrier-protein] reductase (NADH) (C12:0 forming)(mitochondrial),h_m + nadh_m + tddec2eACP_m <==> ddcaACP_m + nad_m
9320,3OAS140_m,3-oxoacyl-[acyl-carrier-protein] synthase (C14:0 forming)(mitochondrial),ddcaACP_m + h_m + malACP_m <==> 3omrsACP_m + ACP_m + co2_m
9321,3OAR140_m,3-oxoacyl-[acyl-carrier-protein] reductase (C14:0 forming)(mitochondrial),3omrsACP_m + h_m + nadph_m <==> 3hmrsACP_m + nadp_m
9322,3HAD141_m,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (C14:1(2E) forming)(mitochondrial),3hmrsACP_m <==> h2o_m + tmrs2eACP_m
9323,EAR140_m,Enoyl-[acyl-carrier-protein] reductase (NADH) (C14:0 forming)(mitochondrial),h_m + nadh_m + tmrs2eACP_m <==> myrsACP_m + nad_m
9324,3OAS160_m,3-oxoacyl-[acyl-carrier-protein] synthase (C16:0 forming)(mitochondrial),h_m + malACP_m + myrsACP_m <==> 3opalmACP_m + ACP_m + co2_m
9325,3OAR160_m,3-oxoacyl-[acyl-carrier-protein] reductase (C16:0 forming)(mitochondrial),3opalmACP_m + h_m + nadph_m <==> 3hpalmACP_m + nadp_m
9326,3HAD161_m,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (C16:1(2E) forming)(mitochondrial),3hpalmACP_m <==> h2o_m + tpalm2eACP_m
9327,FA160ACPH_m,Fatty-acyl-ACP hydrolase (n-C16:0),h2o_m + palmACP_m <==> ACP_m + h_m + hdca_m
9328,CDPDAGS_PALM_PALM_m,CDP-diacylglycerol synthase (16:0/16:0),ctp_m + h_m + pa160_m <==> cdp12dgr160_m + ppi_m
9329,CLM_m,Cardiolipin maturation,clpn160_m + 4.0 h2o_m + 4.0 lnlccoa_m <==> clpn182_m + 4.0 coa_m + 4.0 h_m + 4.0 hdca_m
9330,BPNT2_h,"3"",5""-Bisphosphate nucleotidase (paps)",h2o_h + paps_h <==> aps_h + pi_h
9331,AKGR_m,Alpha ketoglutarate reductase; NAD dependent,2hglut_m + nad_m <==> akg_m + h_m + nadh_m
9332,SDOOR_c,Spermidine: oxygen oxidoreductase,h2o_c + o2_c + spmd_c <==> bamppald_c + h2o2_c + ptrc_c
9333,SACCD_c,L-lysine-alpha-ketoglutarate reductase,akg_c + h_c + lys__L_c + nadph_c <==> h2o_c + nadp_c + saccrp__L_c
9334,AOATA_m,Asparagine-oxo-acid transaminase,asn__L_m + pyr_m <==> 2oxosucc_m + ala__L_m
9335,GOATA_m,Glutamine-oxo-acid transaminase,gln__L_m + pyr_m <==> 2ogm_m + ala__L_m
9336,OXOSUCAH_h,2-Oxosuccinamate amidohydrolase,2oxosucc_h + h2o_h <==> nh4_h + oaa_h
9337,ABPTA_m,4-aminobutyrate--pyruvate transaminase,4abut_m + pyr_m <==> ala__L_m + sucsal_m
9338,CGS_m,Cystathionine gamma-synthase,achms_m + cys__L_m <==> ac_m + cyst__L_m + h_m
9339,GDPMEP_c,"GDP-mannose 3,5 epimerase",gdpmann_c <==> gdpgal_c
9340,GDPGALPL_c,GDP-L-galactose phosphorylase,gdpgal_c + pi_c <==> gal1p_c + gdp_c + h_c
9341,GAL1PP_c,Galactose-1-phosphate phosphatase,gal1p_c + h2o_c <==> gal__L_c + pi_c
9342,G14LACt_m,"L-galactono-1,4-lactone transport between mito and cytosol",gal14lac_c <==> gal14lac_m
9343,ASCBPOX_m,Ascorbate peroxidase,ascb__L_m + h2o2_m + h_m <==> dhdascb_m + 2.0 h2o_m
9344,DHAOX_h,Dehydroascorbate oxidoreductase,dhdascb_h + 2.0 gthrd_h <==> ascb__L_h + gthox_h + h_h
9345,5MTRt_m,5-methylthio-d-ribose transport between mito and cytosol,5mtr_c <==> 5mtr_m
9346,MCPST_c,3-mercaptopyruvate sulfurtransferase,cyan_c + mercppyr_c <==> pyr_c + tcynt_c
9347,MCPST_m,3-mercaptopyruvate sulfurtransferase,cyan_m + mercppyr_m <==> pyr_m + tcynt_m
9348,NAHCO3t_m,"Na/HCO3 transport, mitochondria",hco3_c + na1_c <==> hco3_m + na1_m
9349,NAHCO3CLt_e,Sodium-driven chloride bicarbonate exchanger,cl_c + hco3_e + na1_e <==> cl_e + hco3_c + na1_c
9350,GLCNACT_c,UDP-GlcNAc:dolichyl-pyrophosphoryl-GlcNAc GlcNAc transferase,nacglc2p_c + uacgam_c <==> chito2pdpl_c + h_c + udp_c
9351,BDMT_c,Chitobiosyldiphosphodolichol beta-mannosyltransferase,chito2pdpl_c + gdpmann_c <==> gdp_c + h_c + mpdol_c
9352,DOLPMT1_c,Dolichyl-phosphate-mannose-glycolipid alpha-mannosyltransferase (m5mpdol),dolmanp_c + m4mpdol_c <==> dolp_c + h_c + m5mpdol_c
9353,G12MT3_c,"Alpha-1,2-mannosyltransferase (m6mpdol)",dolmanp_c + m5mpdol_c <==> dolp_c + h_c + m6mpdol_c
9354,DOLPGT1_c,"Alpha-1,3-glucosyltransferase (g1m8mpdol)",dolpglc_c + m8mpdol_c <==> dolp_c + g1m8mpdol_c + h_c
9355,DOLPGT2_c,"Alpha-1,3-glucosyltransferase (g2m8mpdol)",dolpglc_c + g1m8mpdol_c <==> dolp_c + g2m8mpdol_c + h_c
9356,DOLPGT3_c,"Alpha-1,2-glucosyltransferase (g3m8masn)",dolpglc_c + g2m8mpdol_c <==> dolp_c + g3m8mpdol_c + h_c
9357,MG1_c,Mannosyl-oligosaccharide glucosidase (g3m8masn),g3m8masn_c + h2o_c <==> g2m8masn_c + glc__D_c
9358,GRDPt_c,Geranyl diphosphate transport to mitochondria from cytosol,grdp_c <==> grdp_m
9359,HPT_h,Homogentisate phytyltransferase,h_h + hgentis_h + phdp_h <==> 2m6phol_h + co2_h + ppi_h
9360,NPHMBDC_m,3-Nonaprenyl-4-hydroxy-5-methoxybenzoate decarboxylation,h_m + me3dhnpdh_m <==> 2np6mep_m + co2_m
9361,EPISTLDS_c,Episterol desaturase,epist_c + h_c + nadph_c + o2_c <==> dhepstrl_c + 2.0 h2o_c + nadp_c
9362,DHCERS18_c,Dihydroeramide synthase (Sphinganine:n-18C),ocdccoa_c + sphgn_c <==> coa_c + dhcer_18_c + h_c
9363,CERDA18_c,Dihydroceramide deacylase (sphinganine/stearate forming),dhcer_18_c + h2o_c <==> ocdca_c + sphgn_c
9364,DHCERD4DS_c,Dihydroceramide delta 4 desaturase (Sphingosine:n-18C forming),dhcer_18_c + nad_c <==> cer_18_c + h_c + nadh_c
9365,CRMDA18_c,Ceramide deacylase (sphingosine/stearate forming),cer_18_c + h2o_c <==> ocdca_c + sphings_c
9366,PDYXPT_c,Pyridoxamine-pyruvic transaminase,pydam_c + pyr_c <==> ala__L_c + pydx_c
9367,AMPMS_h,4-amino-2-methyl-5-phosphomethylpyrimidine synthetase,air_h + amet_h <==> 4ampm_h + co_h + dad_5_h + for_h + 2.0 h_h + met__L_h
9368,THII_h,Thiamine biosynthesis protein ThiI,athis_h + iscssh_h + nadph_h <==> amp_h + iscsh_h + nadp_h + thissh_h
9369,TMPPH_h,Thiamine-phosphate phosphohydrolase,h2o_h + thmmp_h <==> pi_h + thm_h
9370,TMTP_h,Thiamine-triphosphatase,h2o_h + thmtp_h <==> h_h + pi_h + thmpp_h
9371,TMN_c,Aminopyrimidine aminohydrolase,4aammp_c + h2o_c <==> 4ahmmp_c + nh4_c
9372,SEPHCHCS_h,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase,akg_h + h_h + ichor_h <==> co2_h + sephcpc_h
9373,SUCBZS_h,O-succinylbenzoate synthase,2shchc_h <==> h2o_h + sucbz_h
9374,SUCBZt_x,O-succinylbenzoate transport from plastid to peroxisome,sucbz_h <==> sucbz_x
9375,SBZCOADH_x,O-succinylbenzoate-CoA dehydratase,h_x + sbzcoa_x <==> dhncoa_x + h2o_x
9376,DHNAt_x,"1,4-Dihydroxy-2-naphthoate transport from peroxisome to plastid",dhna_x <==> dhna_h
9377,PIMACPS_m,Pimeloyl-[acyl-carrier protein] synthase,2.0 fadh2_m + myrsACP_m + 3.0 o2_m <==> 2.0 fad_m + 3.0 h2o_m + h_m + hptal_m + pimACP_m
9378,DBTS_m,Dethiobiotin synthase,atp_m + co2_m + dann_m <==> adp_m + dtbt_m + 3.0 h_m + pi_m
9379,BTS_m,Biotin synthase,amet_m + cys__L_m + dtbt_m <==> ala__L_m + btn_m + dad_5_m + h_m + met__L_m
9380,DHPPDA_h,Diaminohydroxyphosphoribosylaminopyrimidine deaminase,25drapp_h + h2o_h + h_h <==> 5apru_h + nh4_h
9381,DB4PS_h,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",ru5p__D_h <==> db4p_h + for_h + h_h
9382,RBFK_h,Riboflavin kinase,atp_h + ribflv_h <==> adp_h + fmn_h + h_h
9383,FADR_h,FAD reductase (NADPH),fad_h + h_h + nadph_h <==> fadh2_h + nadp_h
9384,FADDP_h,FAD diphosphatase,fad_h + h2o_h <==> amp_h + fmn_h + 2.0 h_h
9385,ALATL_h,"Alanine-tRNA ligase, chloroplast",ala__L_h + atp_h + trnaala_h <==> alatrna_h + amp_h + ppi_h
9386,ALANA1t_h,"Alanine:Na+ symporter, chloroplast",ala__L_h + na1_h <==> ala__L_c + na1_c
9387,ASNTL_h,"Asparagine-tRNA ligase, chloroplast",asn__L_h + atp_h + trnaasn_h <==> amp_h + asntrna_h + ppi_h
9388,ASNNA1t_m,"Asparagine:Na+ symporter, mitochondrial",asn__L_m + na1_m <==> asn__L_c + na1_c
9389,CYSt_h,"Amino acid transporter (Cys-L), chloroplast",cys__L_h + h_h <==> cys__L_c + h_c
9390,CYSt_m,"Amino acid transporter (Cys-L), mitochondrial",cys__L_m + h_m <==> cys__L_c + h_c
9391,VALt_m,"Amino acid transporter (Val-L), mitochondrial",na1_m + val__L_m <==> na1_c + val__L_c
9392,ILEt_h,"Amino acid transporter (Ile-L), chloroplast",ile__L_h + na1_h <==> ile__L_c + na1_c
9393,ILEt_m,"Amino acid transporter (Ile-L), mitochondrial",ile__L_m + na1_m <==> ile__L_c + na1_c
9394,LYSt_h,"Amino acid transporter (Lys-L), chloroplast",h_h + lys__L_h <==> h_c + lys__L_c
9395,HISTL_h,"Histidine-tRNA ligase, chloroplast",atp_h + his__L_h + trnahis_h <==> amp_h + histrna_h + ppi_h
9396,PHEt_h,"Amino acid transporter (Phe-L), chloroplast",h_h + phe__L_h <==> h_c + phe__L_c
9397,ASPOR_m,L-aspartate:oxygen oxidoreductase,asp__L_m + nad_m <==> h_m + iasp_m + nadh_m
9398,DHBILVOX_h,"15,16-dihydrobiliverdin:ferredoxin oxidoreductase",biliverd_h + 2.0 fdxrd_h + 2.0 h_h <==> dhbiliverd_h + 2.0 fdxox_h
